['EPZM', -1.93, -8.366667, 1775448448, None]
['ERI', 1.03, -422.59998, 1643848320, None]
['ERIE', 6.059, 27.544765, 8384245760, 0.0214]
['ESGR', 41.43, 8.600589, 3146760960, None]
['ESLT', 5.2, 16.269705, 5791794688, 0.013099999]
['ESPR', -3.587, -5.449591, 1101923968, None]
['EWBC', 4.491, 9.234972, 4780503040, 0.0342]
['EXEL', 1.02, 28.319149, 8138639872, None]
['EXLS', 1.95, 16.658401, 2075094656, None]
['EXPO', 1.53, 40.48555, 3609784576, 0.0107]
['FANG', 1.468, 15.139442, 5997007872, 0.0414]
['FATE', -1.439, -15.480663, 2127766016, None]
['FCNCA', 41.053, None, 3822779904, 0.0045]
['FELE', 2.03, 22.997747, 2371800832, 0.012200001]
['FEYE', -1.242, 40.785713, 2543873536, None]
['FFBC', 1.821, 12.838984, 1484230272, 0.0622]
['FFIN', 1.188, 24.412281, 3953279488, 0.0174]
['FFIV', 5.61, 14.749738, 8564865536, None]
['FGEN', -0.888, -37.67308, 3489715712, None]
['FIBK', 2.83, 13.243903, 2125812480, 0.0431]
['FIVE', 3.12, 24.870167, 5005938176, None]
['FIVN', -0.075, 93.41748, 5964754944, None]
['FIZZ', 2.56, 21.945148, 2424524032, None]
['FLEX', -0.049, 7.591666, 4591367168, None]
['FLIR', 1.26, 18.384617, 5784296960, 0.0165]
['FLWS', 0.64, 29.838709, 1189490816, None]
['FMBI', 1.82, 9.817567, 1661171328, 0.0395]
['FOLD', -1.482, -14.975308, 3123863296, None]
['FORM', 0.51, 20.469566, 1792764160, None]
['FORTY', 2.44, None, 1049589440, 0.0139999995]
['FOXF', 2.38, 17.30634, 1897322752, None]
['FRME', 3.022, 12.551569, 1504577280, 0.0378]
['FRPT', -0.04, 120.245895, 2946124800, None]
['FSLR', -1.091, 11.443835, 4422774784, None]
['FULT', 1.182, 12.260417, 1928408576, 0.0463]
['FWRD', 3.04, 18.082169, 1450921216, 0.0138]
['GBDC', 0.123, 9.038462, 1414998400, 0.105299994]
['GGAL', None, 1.3740158, 1771349504, 0.0517]
['GLPI', 1.811, 11.675214, 5876586496, 0.105]
['GLUU', 0.06, 19.349998, 1161247616, None]
['GNTX', 1.618, 14.743977, 6040380928, 0.0197]
['GT', -1.335, 7.4563107, 1787043840, None]
['GTLS', 1.513, 10.573529, 1292607488, None]
['GWPH', -0.291, 22.118896, 3300162048, None]
['HAIN', -1.798, 30.109888, 2860148992, None]
['HALO', -0.501, 16.251749, 3208723456, None]
['HBAN', 0.984, 9.520834, 9269970944, 0.0673]
['HCSG', 1.016, 20.090164, 1823936128, 0.0327]
['HDS', 2.706, 10.294117, 4819083264, None]
['HMSY', 0.98, 20.962687, 2483462144, None]
['HOMB', 1.31, 10.963235, 2462356736, 0.037]
['HQY', 0.58, 29.296295, 3935827200, None]
['HSIC', 4.65, 15.019022, 7890124288, None]
['HTLD', 0.84, 24.250002, 1656997760, 0.0039]
['HTLF', 4.14, 9.860058, 1244819456, 0.0248]
['HUBG', 3.2, 14.848024, 1657978752, None]
['HURN', 1.86, 17.10543, 1223512192, None]
['IBOC', 3.12, None, 1867517824, 0.0378]
['IBTX', 4.457, 5.752988, 1243018240, 0.0364]
['ICFI', 3.59, 16.612902, 1357448320, 0.0082]
['ICLR', 6.78, 20.311583, 8179530240, None]
['ICPT', -10.889, -11.104839, 2714323200, None]
['ICUI', 4.69, 29.057068, 4662019584, None]
